timestamp,ax,ay,az,gx,gy,gz,mag_acc,mag_gyro,diff_acc,diff_gyro,diff_time,label
1960,-2.01,-0.54,5.84,0.31,-0.28,0.52,6.199782254,0.667008246,,,,0
2966,0.26,4.09,6.78,0.33,-0.24,-0.56,7.922379693,0.692892488,1.722597439,0.025884242,1006,0
3967,-2.58,3.19,6.49,0.08,-0.09,-0.97,7.678059651,0.977445651,-0.244320042,0.284553163,1001,0
4973,-1.73,0.97,7.28,-0.31,-0.09,1.16,7.545342935,1.20407641,-0.132716716,0.226630759,1006,0
5974,0.35,1.85,7.04,-0.09,-0.07,0.15,7.28742753,0.188414437,-0.257915405,-1.015661973,1001,0
6980,-0.86,-0.51,7.85,0.09,0.2,0.32,7.913418983,0.387943295,0.625991453,0.199528858,1006,0
7981,2.85,-0.41,6.63,-0.04,-0.28,-0.18,7.228243217,0.335261092,-0.685175766,-0.052682203,1001,0
8987,1.84,1.68,6.84,-0.13,-0.07,-0.14,7.279670322,0.203469899,0.051427105,-0.131791193,1006,0
9988,2.03,0.68,6.59,0.61,0.17,-1.42,6.929025906,1.554799022,-0.350644417,1.351329123,1001,0
10994,-2.68,3.22,6.38,-0.36,-0.34,-0.5,7.632509417,0.703704483,0.703483511,-0.851094539,1006,0
11995,0.25,5.14,5.05,-0.53,-0.3,0.08,7.210034674,0.614247507,-0.422474743,-0.089456976,1001,0
13001,0.82,0.63,7.44,-0.44,-0.27,0.48,7.511517823,0.704911342,0.301483149,0.090663835,1006,0
14002,1.5,-1.5,8.45,0.28,-0.22,-0.62,8.712204084,0.714982517,1.200686261,0.010071175,1001,0
15008,-0.38,3.27,5.33,-0.07,0.46,0.28,6.264678763,0.543046959,-2.447525321,-0.171935558,1006,1
16009,3.25,2.36,6.85,0.09,0.17,0.52,7.940692665,0.554436651,1.676013902,0.011389692,1001,1
17015,-0.49,1.02,5.52,0.19,0.38,-0.93,5.634793696,1.022448043,-2.305898969,0.468011392,1006,1
19021,1.01,-2.03,-12.58,-0.07,-0.17,0.02,12.78269925,0.18493242,7.147905549,-0.837515623,2006,1
26037,-5.97,-1,-8.52,-0.49,-0.86,-1.23,10.4513779,1.57879701,-2.331321346,1.39386459,7016,0
28043,-8.04,-4.57,-6.43,-0.5,0.76,0.92,11.26372052,1.293831519,0.812342623,-0.284965491,2006,0
29049,-8.8,-1.08,-0.67,0.82,-0.91,-0.15,8.891304741,1.234098862,-2.372415781,-0.059732658,1006,0
30050,-6.25,1.66,3.67,0.46,-0.1,-0.83,7.435522846,0.954201237,-1.455781895,-0.279897625,1001,0
31056,-5.59,-3.59,4.96,0.02,-0.24,0.97,8.290826256,0.999449849,0.855303409,0.045248612,1006,0
32057,-1.1,-2.15,5.82,-1.48,0.1,2.06,6.301182429,2.538503496,-1.989643827,1.539053647,1001,0
33063,-3.34,-2.82,5.62,-0.23,-0.42,0.43,7.119859549,0.643583716,0.81867712,-1.89491978,1006,0
34064,-2.55,-4.45,4.86,-0.3,0.34,-0.16,7.065734215,0.480832611,-0.054125334,-0.162751105,1001,0
35070,1.46,-3.86,5.37,-0.46,-0.91,-1.03,6.772599206,1.44934468,-0.29313501,0.968512068,1006,0
36071,-1.61,2.63,6.19,-0.24,-0.26,-0.91,6.915569391,0.976370831,0.142970185,-0.472973848,1001,0
37077,0.19,0.03,6.81,-0.53,-0.37,-1.52,6.812716052,1.65172637,-0.102853339,0.675355538,1006,0
38078,-1.77,0.8,6.77,0.28,-0.07,0.4,7.043138505,0.493254498,0.230422453,-1.158471871,1001,0
39084,-1.42,3.99,5.47,-0.14,-0.03,-0.41,6.917904307,0.434281015,-0.125234198,-0.058973483,1006,0
40085,-4.86,5.22,4.96,-0.95,-0.14,1.68,8.687324099,1.935071058,1.769419792,1.500790043,1001,0
42091,-1.36,-1.76,7.16,0.15,-0.34,-1.27,7.49751959,1.323253566,-1.189804509,-0.611817492,2006,0
43097,-1.09,1.69,6.58,0.01,0.34,-0.14,6.880450567,0.367831483,-0.617069023,-0.955422083,1006,1
44098,0.75,-1.8,2.4,1.04,-1.35,-4.37,3.092329219,4.690522359,-3.788121347,4.322690876,1001,1
45104,0.88,-0.48,7.02,-0.01,-0.06,0.03,7.091205821,0.0678233,3.998876602,-4.622699059,1006,1
46105,0.36,-0.52,7.21,-0.04,-0.03,0.01,7.237686094,0.050990195,0.146480273,-0.016833105,1001,1
50116,2.99,2.01,5.49,-0.24,-1.72,-0.65,6.566604907,1.854319282,-0.671081188,1.803329087,4011,0
51122,4.77,1.33,7.26,1.05,-0.28,1.51,8.788025944,1.860376306,2.221421038,0.006057024,1006,0
52123,1.83,0.8,8.15,-0.37,-0.46,2.26,8.3911501,2.335829617,-0.396875844,0.475453311,1001,0
53129,2.82,-2.48,6.44,0.15,0.07,0.96,7.454958082,0.97416631,-0.936192018,-1.361663307,1006,0
54130,-0.11,0.88,6.63,-0.06,0.61,-0.5,6.689050755,0.79101201,-0.765907327,-0.1831543,1001,0
55136,0.36,1.89,7.07,0.02,-0.21,-0.21,7.327114029,0.297657521,0.638063275,-0.493354489,1006,0
56137,2.03,2.89,6.58,-0.16,0.08,-0.2,7.467891269,0.268328157,0.140777239,-0.029329364,1001,0
57143,-0.01,0.36,7.1,-0.27,-0.2,-0.26,7.109127935,0.424852916,-0.358763333,0.156524758,1006,0
58144,2.38,1.56,6.86,0.26,0.04,0.87,7.426816276,0.908900435,0.317688341,0.484047519,1001,0
59150,1.92,0.82,7.19,-0.11,0.37,0.06,7.486982036,0.3906405,0.060165759,-0.518259935,1006,1
60151,-0.55,1.36,6.87,-0.06,0.24,-0.28,7.024884341,0.373630834,-0.462097695,-0.017009666,1001,1
61157,-6.3,-2.24,5.27,0.05,0.48,1.42,8.513548027,1.499766649,1.488663686,1.126135815,1006,1
63163,3.82,3.55,7.25,-0.41,1.67,1.46,8.930699861,2.255792544,0.417151834,0.756025895,2006,1
64164,-0.08,-0.46,7.28,-0.04,-0.02,0.01,7.294957162,0.045825757,-1.635742698,-2.209966787,1001,1
81210,0.28,0.05,6.74,-0.11,0.03,1.13,6.745998814,1.135737646,-0.548958348,1.089911889,17046,0
82211,2.7,-2.3,7.32,-0.43,0.18,0.44,8.134027293,0.64101482,1.388028479,-0.494722825,1001,0
83217,-2.92,-2.49,6.48,-0.51,0.22,0.09,7.531062342,0.562672196,-0.602964951,-0.078342625,1006,0
84218,-3.58,-0.35,7.34,-0.42,0.17,0.65,8.174013702,0.792338312,0.64295136,0.229666116,1001,0
85224,-1.75,-2.98,5.77,0.01,-0.17,0.51,6.725756463,0.537680202,-1.448257239,-0.254658109,1006,0
86225,-2.1,-3.14,6.24,0.22,0.62,-0.79,7.294326562,1.028056419,0.568570099,0.490376216,1001,0
87231,-2.54,-2.32,6.17,0.23,-0.2,-0.25,7.064198468,0.394208067,-0.230128094,-0.633848352,1006,0
88232,-2.24,-3.12,6.75,-0.12,-0.12,0.06,7.766241047,0.18,0.702042579,-0.214208067,1001,0
91243,0.55,-2.1,7.23,-0.17,-0.13,-0.09,7.548867465,0.232163735,-0.217373582,0.052163735,3011,0
92244,-0.03,-1.44,6.31,-0.06,0.1,0.95,6.472294802,0.95713113,-1.076572663,0.724967395,1001,0
93250,-0.3,-5.17,6.2,-0.2,0.49,-0.05,8.078298088,0.531601354,1.606003286,-0.425529776,1006,0
94251,-2.12,-3.21,6.89,-0.16,0.13,-0.17,7.891172283,0.267207784,-0.187125805,-0.26439357,1001,0
95257,-0.06,-3.43,6.85,0.09,-0.15,-0.15,7.661005156,0.230434372,-0.230167127,-0.036773412,1006,0
96258,-0.1,-3.12,7.08,0.39,0.31,-0.31,7.737622374,0.586770824,0.076617218,0.356336452,1001,0
98264,-0.63,-2.58,7.22,0.33,-0.04,-0.29,7.692964318,0.4411349,-0.044658056,-0.145635924,2006,0
