timestamp,ax,ay,az,gx,gy,gz,mag_acc,mag_gyro,diff_acc,diff_gyro,diff_time,label
1966,-1.81,-1,6.09,0.24,-0.59,-0.27,6.431500603,0.691809222,,,,0
2972,0.02,1.45,7.12,0.4,-0.32,0.23,7.26617506,0.561515806,0.834674457,-0.130293417,1006,0
3973,1.36,3.17,6.39,-0.14,0.09,0.17,7.261583849,0.237907545,-0.004591211,-0.323608261,1001,0
4979,-0.08,0.76,6.8,-0.27,-0.14,0.1,6.842806442,0.320156212,-0.418777407,0.082248667,1006,0
5980,0.58,0.33,7.12,0.07,0.09,-0.56,7.151202696,0.571489282,0.308396254,0.251333071,1001,0
6986,0.34,0.93,6.98,0.04,-0.07,0.15,7.049886524,0.170293864,-0.101316172,-0.401195419,1006,0
7987,-1.09,2.54,8.04,-0.09,-0.44,-0.44,8.501840977,0.628728876,1.451954453,0.458435013,1001,0
8993,-0.41,1.78,7.12,-0.05,0.11,-0.45,7.350571406,0.46593991,-1.151269571,-0.162788966,1006,0
9994,-1.09,2.34,7.08,-0.01,-0.17,-0.13,7.535920647,0.214242853,0.185349241,-0.251697057,1001,0
11000,0.77,2.55,7.49,-0.29,-0.27,-0.48,7.949559736,0.622414653,0.413639089,0.4081718,1006,0
12001,0.91,1.21,6.28,0,0.11,0.11,6.4599226,0.155563492,-1.489637136,-0.466851161,1001,0
13007,2.74,2.78,6.92,-0.28,-0.23,0.44,7.944960667,0.57,1.485038067,0.414436508,1006,0
14008,-2.6,-0.53,6.57,0.1,0.05,-0.03,7.085605126,0.115758369,-0.859355541,-0.454241631,1001,0
15014,-2.33,0.41,6.97,0.01,0.04,-0.2,7.360563837,0.204205779,0.274958711,0.08844741,1006,0
16015,-0.24,-0.03,7.26,-0.05,-0.32,-0.14,7.264027808,0.352845575,-0.096536029,0.148639797,1001,0
17021,-0.05,0.32,7.3,-0.1,0.04,0.06,7.307181399,0.12328828,0.043153591,-0.229557295,1006,0
19027,-0.51,0.32,6.77,0.02,0.05,0.35,6.796719797,0.354118624,-0.510461602,0.230830344,2006,1
20028,-1.97,-0.29,6.77,-0.23,0.3,0.06,7.056762714,0.382753184,0.260042917,0.02863456,1001,1
22034,0.58,-1.3,-12.77,-0.05,-0.02,0.1,12.84909724,0.113578167,5.792334531,-0.269175017,2006,1
29055,-1.26,-1,-13.27,0.14,-0.75,-0.26,13.36714255,0.806039701,0.518045307,0.692461534,7021,0
32061,-2.56,1.46,6.78,0.04,-0.69,-0.35,7.392807315,0.774725758,-5.974335237,-0.031313943,3006,0
33067,-0.77,1.63,6.84,0.17,0.09,-0.1,7.073570527,0.216794834,-0.319236788,-0.557930924,1006,0
34068,-1.44,1.27,7.24,-0.02,0.12,0.17,7.490267018,0.20904545,0.416696491,-0.007749384,1001,0
35074,-4.7,0.2,6.07,-0.32,-0.18,-0.35,7.679511703,0.507247474,0.189244685,0.298202025,1006,0
36075,-2.07,0.14,6.73,0.1,-0.11,0.64,7.042542155,0.657038812,-0.636969549,0.149791338,1001,0
37081,-2.63,1.01,7.44,0.28,0.46,-0.01,7.955538951,0.53860932,0.912996796,-0.118429491,1006,0
38082,-2.35,0.46,7.92,-0.18,-0.17,-0.23,8.274086052,0.337934905,0.318547101,-0.200674415,1001,0
39088,-1.68,-0.58,5.83,-0.45,0.55,-0.4,6.094891303,0.815475322,-2.179194749,0.477540417,1006,0
40089,-4.44,-1.69,5.8,0.47,0.14,-1.59,7.497312852,1.663911055,1.402421549,0.848435734,1001,0
41095,-3.4,-0.73,6.44,0.8,-0.27,0.47,7.318913854,0.966333276,-0.178398998,-0.697577779,1006,0
42096,-3.08,0.78,7.09,-0.02,-0.23,-0.22,7.769356473,0.318904374,0.450442619,-0.647428901,1001,0
43102,-3.08,-0.14,6.51,-0.07,0.01,0,7.203200677,0.070710678,-0.566155795,-0.248193696,1006,0
44103,-3.66,-1.1,6.77,-0.53,0.08,0.03,7.774220218,0.536842621,0.571019541,0.466131943,1001,0
45109,-3.81,-0.77,6.1,-0.19,-0.18,0.71,7.233187403,0.756703376,-0.541032816,0.219860755,1006,0
46110,-1.44,-0.35,7.4,0.51,0.12,-0.49,7.546926527,0.717356257,0.313739124,-0.039347119,1001,0
47116,-2.69,-1.17,7.15,-0.48,-0.22,0.14,7.728356876,0.546260011,0.181430349,-0.171096246,1006,0
48117,-0.78,1.44,7.17,-0.16,-0.2,-0.1,7.354651589,0.274954542,-0.373705287,-0.27130547,1001,0
49123,-2.99,-1.29,6.37,0.03,-0.09,0.14,7.154096728,0.169115345,-0.200554861,-0.105839196,1006,0
50124,-2.4,-1.64,6.94,0.22,0.03,-0.3,7.524174373,0.373229152,0.370077645,0.204113807,1001,0
51130,-2.46,0.46,6.89,0.03,-0.2,-0.32,7.330436549,0.378549865,-0.193737824,0.005320712,1006,0
52131,-1.35,1.32,6.8,-0.01,0.23,0.08,7.057258675,0.243721152,-0.273177874,-0.134828712,1001,0
53137,-3.01,-0.23,7.11,-0.05,0.42,0.07,7.72431874,0.428719022,0.667060066,0.18499787,1006,0
54138,-1.93,0.39,7.87,-0.29,-0.31,0.09,8.112576656,0.433935479,0.388257916,0.005216457,1001,0
55144,-2.42,0.29,6.96,-0.26,-0.13,0.12,7.374422011,0.314483704,-0.738154645,-0.119451775,1006,0
56145,-1.52,-1.03,6.79,-0.03,0.42,-0.31,7.033875177,0.522876658,-0.340546835,0.208392955,1001,1
57151,3.51,-8.79,10.13,3.16,-4.37,2.03,13.86366113,5.762239148,6.829785956,5.23936249,1006,1
58152,0.99,-0.55,7.96,-0.07,-1.81,0.48,8.04016169,1.873872995,-5.823499443,-3.888366153,1001,1
59158,0.6,-1.2,7.58,-0.02,-0.02,-0.12,7.697817873,0.12328828,-0.342343817,-1.750584715,1006,1
60159,0.64,-1.11,7.11,-0.04,-0.03,0.01,7.224527666,0.050990195,-0.473290206,-0.072298085,1001,1
65175,1.19,-4.24,6.21,-0.4,0.06,0.06,7.613002036,0.408900966,0.38847437,0.357910771,5016,0
66176,0.62,2.35,6.22,0.29,-0.08,-0.55,6.677971249,0.626897121,-0.935030787,0.217996155,1001,0
67182,-1.7,6.05,4.85,-0.13,-0.22,-0.1,7.938198788,0.274408455,1.260227539,-0.352488666,1006,0
68183,-1.63,5.16,6.14,-0.94,0.03,0.07,8.184259282,0.94308006,0.246060494,0.668671606,1001,0
70189,4.43,-1,6.37,0.36,0.38,-0.26,7.82315793,0.584465568,-0.361101352,-0.358614492,2006,0
71195,1.87,0.65,7.32,0.13,0.19,0.03,7.582994132,0.232163735,-0.240163799,-0.352301833,1006,0
73201,-0.42,5.85,4.62,0.05,-0.19,-0.18,7.466143583,0.266458252,-0.116850549,0.034294517,2006,0
74202,-1.86,7.61,2.93,-0.02,-0.28,-0.39,8.364006217,0.480520551,0.897862634,0.214062299,1001,0
75208,-1.15,4.98,5.44,-0.61,-0.07,0.39,7.464348599,0.727392604,-0.899657619,0.246872053,1006,0
78214,0.27,1.57,7.29,0.29,-0.11,-0.56,7.462030555,0.640156231,-0.002318044,-0.087236373,3006,0
79220,-1.73,4.74,5.77,0.21,-0.14,-0.07,7.665076647,0.261916017,0.203046092,-0.378240214,1006,0
80221,-1.09,3.4,6.09,-0.38,0.05,0.44,7.059475901,0.583523778,-0.605600745,0.321607761,1001,1
82227,-0.86,-0.47,7.94,0.73,0,-1.12,8.000256246,1.336899398,0.940780345,0.753375619,2006,1
100273,-1.37,-1.66,6.84,0.07,0.58,-0.06,7.170641533,0.587281874,-0.829614713,-0.749617523,18046,0
101279,-0.85,1.19,6.55,1.77,-0.15,0.01,6.711266646,1.776372709,-0.459374887,1.189090834,1006,0
102280,-4.18,5.35,4.25,0.53,-0.16,-0.31,8.009831459,0.634507683,1.298564812,-1.141865025,1001,0
103286,-1.69,4.6,4.79,-0.39,-0.57,0.25,6.852751272,0.734506637,-1.157080187,0.099998954,1006,0
104287,1.44,2.38,7,-0.11,-0.09,0.17,7.532463077,0.221585198,0.679711804,-0.512921439,1001,0
105293,2.38,-0.23,7.07,-0.3,-0.04,0.17,7.46339065,0.347131099,-0.069072426,0.125545901,1006,0
106294,-0.21,0.48,7.9,0.7,0.68,0.2,7.917354356,0.996192752,0.453963706,0.649061653,1001,0
108300,-2,6.25,4.2,-0.4,-0.6,-0.16,7.791180912,0.738647413,-0.126173444,-0.25754534,2006,0
109306,-2.83,5.64,5.13,-0.18,-0.15,-0.36,8.132367429,0.429534632,0.341186517,-0.309112781,1006,0
110307,2.64,4.73,5.2,0.11,-0.1,0.33,7.508828138,0.361939221,-0.623539291,-0.06759541,1001,0
111313,-0.19,-1.8,3.47,-1.51,0.94,0.37,3.913693907,1.81675535,-3.59513423,1.454816128,1006,1
113319,0.76,-0.59,7.23,-0.04,-0.03,0,7.293737039,0.05,3.380043132,-1.76675535,2006,1
118330,-0.07,-0.53,8.29,0.14,0.28,-0.14,8.307219752,0.342928564,1.013482712,0.292928564,5011,0
119336,-1.68,-0.87,8.65,-0.34,0.31,0.58,8.854479093,0.740337761,0.547259341,0.397409197,1006,0
120337,-0.4,6.28,4.51,0.79,-0.35,-0.05,7.741995867,0.865505633,-1.112483226,0.125167872,1001,0
122343,-2.88,8.2,0.59,-0.46,-0.38,0.1,8.711056193,0.604979338,0.969060326,-0.260526294,2006,0
123349,-1.99,2.2,6.42,-0.98,-0.47,0.01,7.072234442,1.08692226,-1.638821751,0.481942922,1006,0
125355,-0.53,-1.31,7.13,0.1,0.19,0.44,7.268693143,0.489591667,0.196458701,-0.597330594,2006,0
126356,-2.31,2.09,6.55,0.46,-0.23,-0.11,7.253047635,0.525927752,-0.015645507,0.036336085,1001,0
127362,-1.41,2.24,6.9,-0.64,-0.45,-0.28,7.390243568,0.830963296,0.137195933,0.305035545,1006,0
131373,-5.81,-0.61,4.98,0.25,0,-0.81,7.676496597,0.847702778,0.286253028,0.016739482,4011,0
132374,-8.17,2.17,1.17,-0.62,-2.63,0.7,8.533856104,2.791290024,0.857359507,1.943587246,1001,0
135385,4.84,-3.95,5.36,-0.28,0.51,0.16,8.231506545,0.603406994,-0.302349559,-2.187883031,3011,0
137391,-0.53,0.03,6.86,-0.03,-0.11,-0.59,6.880508702,0.600915968,-1.350997843,-0.002491026,2006,0
139397,0.45,0.47,6.12,0.42,-0.09,0.47,6.154494293,0.636710295,-0.726014409,0.035794328,2006,0
140398,0.07,-1.23,7.52,-0.28,0.08,0.22,7.62024934,0.364965752,1.465755047,-0.271744543,1001,0
141404,-1.57,-0.28,6.83,-0.05,0.14,-0.19,7.013715135,0.241246762,-0.606534204,-0.12371899,1006,0
142405,-2.82,0.44,6.8,0.03,0,-0.27,7.374686434,0.271661554,0.360971299,0.030414793,1001,0
143411,-1.39,-0.13,6.62,-0.04,-0.61,-0.19,6.765604186,0.640156231,-0.609082248,0.368494677,1006,0
144412,3.63,-2.48,6.47,0.24,-0.04,0.33,7.822288668,0.41,1.056684482,-0.230156231,1001,0
145418,3.14,-3.09,6.43,0.2,-0.04,0.28,7.794395422,0.346410162,-0.027893245,-0.063589838,1006,0
146419,-0.37,-0.96,7.21,0.07,0.8,-0.02,7.283035082,0.80330567,-0.511360341,0.456895509,1001,0
148425,-2.64,2.94,6.27,0.08,-0.03,-0.22,7.411214475,0.236008474,0.128179394,-0.567297196,2006,0
149431,-2.46,2.87,5.68,-0.29,-0.18,-0.34,6.822821997,0.481767579,-0.588392479,0.245759104,1006,0
150432,1.45,-2.77,7.75,-1.09,-1.07,-0.2,8.356907323,1.540454478,1.534085326,1.0586869,1001,1
152438,-5.36,-7.62,-9.67,0.93,1.09,-1.25,13.42769154,1.901446818,5.070784214,0.360992339,2006,1
153444,2.22,-2.36,-12.4,-0.2,0.03,-0.16,12.81631772,0.257875939,-0.611373813,-1.643570878,1006,1
159460,-7,-5.6,-8.41,0.26,-2.34,0.87,12.29178994,2.51,-0.524527781,2.252124061,6016,0
162466,5.49,1.05,5.75,-0.64,-0.49,-0.49,8.019046078,0.943292107,-4.272743865,-1.566707893,3006,0
163472,-4.82,-6.95,1.66,-0.44,0.31,0.17,8.619193698,0.564446632,0.60014762,-0.378845476,1006,0
164473,-6.48,-6.69,-0.37,-0.26,-0.04,0.22,9.321126541,0.342928564,0.701932844,-0.221518068,1001,0
165479,-6.63,-5.04,2.63,0.4,-0.57,0.11,8.733578877,0.704982269,-0.587547664,0.362053705,1006,0
168485,3.88,-1.34,6.5,-0.28,0.88,0.07,7.687652438,0.926120942,-1.045926439,0.221138673,3006,0
170491,-3.87,-0.59,6.45,-0.41,0.15,0.06,7.545031478,0.440681291,-0.14262096,-0.485439652,2006,0
171497,-2.76,-0.45,7.04,-0.97,0.64,0.1,7.575070957,1.166404733,0.030039479,0.725723442,1006,0
172498,-6.16,-1.69,4.4,-0.63,0.25,0.52,7.75639736,0.854283325,0.181326403,-0.312121407,1001,0
174504,-0.4,0.52,7.79,0,-1.89,0.02,7.817576351,1.890105817,0.061178991,1.035822492,2006,0
175510,1.89,0.43,6.99,-0.15,1.2,-0.22,7.25376454,1.229186723,-0.563811811,-0.660919094,1006,0
177516,-4.79,-3.89,3.55,-0.34,-0.07,0.29,7.118897387,0.452327315,-0.134867153,-0.776859408,2006,0
178517,2.23,1.14,6.96,0.02,-1.04,-0.16,7.396897998,1.052425769,0.278000612,0.600098454,1001,0
179523,4.77,0.54,6.04,-0.28,-0.22,-0.29,7.715315936,0.4592385,0.318417938,-0.593187269,1006,0
180524,1.66,0.65,7.01,-0.28,1.2,-0.31,7.233132102,1.270629765,-0.482183835,0.811391265,1001,0
182530,-7.22,-3.54,2.22,0.2,0.79,-0.14,8.341966195,0.826861536,1.108834093,-0.443768229,2006,0
184536,-8.61,0.88,1.79,0.55,-0.27,-0.32,8.83802014,0.691230786,0.496053945,-0.13563075,2006,0
185542,-4.21,2.43,5.92,0.13,-0.88,-0.38,7.659986945,0.967315874,-1.178033195,0.276085088,1006,0
186543,-3.17,-1.32,6.07,-0.25,0.86,-0.02,6.973965873,0.895823643,-0.686021072,-0.071492231,1001,0
190554,0.63,-2.12,-12.55,-0.04,-0.03,0,12.7433826,0.05,5.769416723,-0.845823643,4011,0
200580,6.61,-4.9,-9,0.09,0.86,0.3,12.19434705,0.915259526,-0.549035545,0.865259526,10026,0
202586,7.44,2.03,3.35,-0.32,-0.54,-0.33,8.408150807,0.709154426,-3.786196244,-0.2061051,2006,0
203592,7.64,2.6,2.81,-0.14,-0.41,0.11,8.545507592,0.446989933,0.137356784,-0.262164493,1006,0
