timestamp,ax,ay,az,gx,gy,gz,mag_acc,mag_gyro,diff_acc,diff_gyro,diff_time,label
3968,-1.46,0.25,6.99,-0.05,-0.04,0.03,7.14522218,0.070710678,,,,0
4975,0.52,0.71,6.97,-0.09,-0.12,0.98,7.025339849,0.991413133,-0.11988233,0.920702455,1007,0
5976,0.76,0.93,7.24,-0.21,0.05,0.91,7.338944066,0.935253976,0.313604216,-0.056159157,1001,0
6982,1.17,0.01,7.29,-0.11,-0.03,0.39,7.383298721,0.406324993,0.044354655,-0.528928983,1006,0
7983,0.66,0.65,7,0.28,0.22,-0.31,7.061026838,0.472122865,-0.322271883,0.065797872,1001,0
8989,-1.93,0.22,6.03,0,0.17,-1.27,6.335155878,1.281327437,-0.725870959,0.809204571,1006,0
9990,-1.38,-0.12,7.03,0.29,0.01,-0.18,7.165172713,0.341467422,0.830016834,-0.939860015,1001,0
10996,-0.6,-0.09,7.36,-0.27,0.29,0.66,7.384964455,0.76980517,0.219791742,0.428337749,1006,0
11997,-0.38,0.75,7.16,-0.07,0.35,-0.35,7.209195517,0.49989999,-0.175768938,-0.26990518,1001,0
13003,-4.03,-1.19,6.71,-0.04,-0.2,-0.5,7.917139635,0.54,0.707944118,0.04010001,1006,0
14004,-1.78,2.14,6.28,-0.04,-0.23,0.46,6.869235765,0.515848815,-1.04790387,-0.024151185,1001,0
15010,-3.16,1.65,6.82,0.32,-0.68,-0.21,7.69548569,0.780320447,0.826249924,0.264471632,1006,1
16011,2.15,3.18,-1.35,1.97,0.32,2.04,4.06907852,2.853927119,-3.62640717,2.073606672,1001,1
18016,0.57,-0.45,7.24,-0.04,-0.03,0,7.276331493,0.05,3.207252974,-2.803927119,2005,1
24032,-6.77,-0.35,3.44,0.2,0.8,0.22,7.601907655,0.853463532,0.325576162,0.803463532,6016,0
25039,-5,1.87,3.17,0.14,-0.19,0.07,6.208526395,0.246170673,-1.39338126,-0.607292859,1007,0
27044,-4.86,2.49,4.98,0.7,-0.39,-0.91,7.390541252,1.212518041,1.182014857,0.966347369,2005,0
28046,-6.43,2.81,3.18,0.28,-0.18,-0.21,7.704115783,0.393573373,0.313574531,-0.818944668,1002,0
29052,-5.47,3.51,3.75,0.09,-0.2,-0.53,7.503565819,0.573585216,-0.200549964,0.180011843,1006,0
30053,-1.04,3.93,6.19,0.25,-0.15,0.22,7.405578978,0.365239647,-0.097986841,-0.208345569,1001,0
31059,3.58,5.3,5.6,0.08,-0.25,-0.01,8.500964651,0.262678511,1.095385673,-0.102561137,1006,0
32060,5.83,6.17,4.07,-0.1,-0.91,0.28,9.413963034,0.957340065,0.912998383,0.694661554,1001,0
33066,7.36,4.87,1.71,0.44,-0.89,-1.38,8.98947162,1.700029412,-0.424491414,0.742689347,1006,0
34067,2.39,8.48,0.58,-0.33,-0.9,-0.63,8.82943373,1.147083258,-0.160037889,-0.552946154,1001,0
35073,-1.44,6.3,4.91,-0.44,0.79,0.11,8.116138244,0.910933587,-0.713295486,-0.236149671,1006,0
36074,-3.52,7.01,1.17,0.61,0,0.79,7.930914197,0.998098192,-0.185224047,0.087164605,1001,0
37080,-5.87,6.21,0.92,-0.02,-0.53,-0.45,8.594614593,0.69555733,0.663700396,-0.302540861,1006,1
38081,0.67,6.03,4.14,0.75,0.67,0.22,7.345025528,1.029465881,-1.249589065,0.33390855,1001,1
41091,0.74,-0.83,-12.62,-0.04,-0.03,-0.01,12.66889498,0.050990195,5.323869452,-0.978475686,3010,1
49112,-0.3,0.55,-12.19,-0.07,-0.25,-0.04,12.20608864,0.262678511,-0.462806335,0.211688316,8021,0
50114,5.01,7.32,-6.46,-1.43,0.83,-0.8,10.97333586,1.836790679,-1.23275278,1.574112169,1002,0
51120,1.78,7.82,-1.22,-0.51,-0.88,-0.07,8.112286977,1.019509686,-2.861048888,-0.817280993,1006,0
52121,-1.6,8.36,1.39,-0.56,-0.03,-0.56,8.624482593,0.792527602,0.512195616,-0.226982084,1001,0
56131,3.9,6.82,-6.87,2.05,0.47,-1.23,10.43644096,2.436452339,1.811958371,1.643924737,4010,0
58137,3.61,6.49,3.96,-1.3,0.39,-0.19,8.416281839,1.37047437,-2.020159125,-1.065977969,2006,0
60143,1.84,8.63,-0.76,0.85,0.42,0.04,8.856641576,0.948946785,0.440359736,-0.421527586,2006,0
61150,2.33,9.12,2.04,0.36,-0.19,0.11,9.631453681,0.421663373,0.774812105,-0.527283412,1007,0
62151,1.6,8.98,-0.15,-0.28,0.08,0.05,9.122658604,0.295465734,-0.508795077,-0.126197639,1001,0
63157,1.18,9.07,-1.13,0.75,0.19,0.02,9.21597526,0.773950903,0.093316657,0.478485169,1006,1
65162,0.62,-0.85,-12.55,-0.04,-0.03,0,12.59402239,0.05,3.378047131,-0.723950903,2005,1
73183,1.2,-0.03,-13.24,-0.31,0.04,-0.14,13.29430329,0.342490876,0.7002809,0.292490876,8021,0
74185,2.65,1.2,-11.62,-0.53,0.54,0.11,11.97860175,0.764591394,-1.315701536,0.422100518,1002,0
75191,3.62,5.2,-10.25,-0.05,-0.11,-0.04,12.05018257,0.127279221,0.071580816,-0.637312174,1006,0
76192,1.14,7.99,-8.28,-0.13,-0.31,-0.27,11.56278946,0.431161223,-0.487393115,0.303882002,1001,0
78197,1.64,9.12,0.51,-1.01,-0.3,0.13,9.280307107,1.061602562,-2.282482349,0.630441339,2005,0
79204,-0.18,6.03,4.61,-0.08,-0.27,0.01,7.592456783,0.281780056,-1.687850324,-0.779822506,1007,0
80205,3.18,8.09,1.93,-0.17,0.01,0.27,8.904234947,0.319217794,1.311778165,0.037437738,1001,0
81211,1.02,8,2.48,-0.18,0.34,0.01,8.437464074,0.384837628,-0.466770873,0.065619834,1006,0
82212,3.37,6.22,4.76,-0.68,0.27,0.44,8.526599557,0.853756406,0.089135483,0.468918777,1001,0
84217,0.83,4.98,4.41,0.32,-0.1,0.16,6.70353638,0.371483512,-1.823063177,-0.482272893,2005,0
85224,-1.68,5.61,5.75,0.31,-0.87,-0.3,8.207131046,0.971081871,1.503594665,0.599598358,1007,0
