timestamp,ax,ay,az,gx,gy,gz,mag_acc,mag_gyro,diff_acc,diff_gyro,diff_time,label
3972,-1.7,-9.66,-3.8,-0.11,-0.14,-0.01,10.51882123,0.178325545,,,,0
4978,0.17,-10.09,-2.35,0.13,-0.74,-0.1,10.36144295,0.757957782,-0.157378277,0.579632237,1006,0
5979,-1.92,-9.34,-2.69,-0.32,0.25,-0.14,9.907476974,0.429534632,-0.453965975,-0.328423151,1001,0
6985,-0.82,-10.2,-0.7,0.22,0.45,0.1,10.25682212,0.510783712,0.349345145,0.08124908,1006,0
7986,-1.49,-11.42,-1.05,-0.19,0.42,0.17,11.56455792,0.49132474,1.307735805,-0.019458972,1001,0
8992,-1.12,-9.9,-3.27,0.02,-0.68,0.03,10.48605264,0.680955211,-1.078505283,0.189630472,1006,0
9993,-0.26,-9.2,-0.98,-0.12,0.25,0.05,9.255700946,0.281780056,-1.230351696,-0.399175155,1001,0
10999,-1.25,-9.8,-3.92,-0.05,0.09,-0.22,10.62868289,0.242899156,1.372981945,-0.0388809,1006,0
12000,-0.65,-9.44,-1.14,-0.15,-0.43,0.3,9.530776464,0.545343928,-1.097906427,0.302444772,1001,1
13006,-2,-9.72,-2.19,0.04,-0.14,0.25,10.16240621,0.289309523,0.631629747,-0.256034405,1006,1
14007,-5.61,2.27,-2.15,0.28,-0.85,0.63,6.422421662,1.094440496,-3.739984549,0.805130973,1001,1
15013,-8.15,1.63,2.66,-0.06,0,-0.08,8.726683219,0.1,2.304261557,-0.994440496,1006,1
16014,-7.24,0.93,3.04,-0.05,-0.01,-0.01,7.907218221,0.051961524,-0.819464997,-0.048038476,1001,1
26040,-7.43,1.78,2.44,-0.17,0.03,-0.1,8.020405227,0.199499373,0.113187005,0.147537849,10026,0
27046,-6.86,-1.05,4.37,-0.2,0.07,-0.71,8.201158455,0.740945342,0.180753228,0.541445969,1006,0
29052,-1.57,-9.41,-0.65,0.16,0.6,-0.01,9.562191171,0.621047502,1.361032717,-0.11989784,2006,0
30053,-1.41,-9.54,-3.94,-0.33,-0.07,0.01,10.4174517,0.337490741,0.855260532,-0.283556762,1001,0
31059,-1.65,-9.8,-3.76,0.08,0.25,-0.17,10.62544587,0.312729915,0.207994169,-0.024760825,1006,0
32060,-1.69,-9.63,-1.51,0.1,0.08,0.06,9.893083442,0.141421356,-0.732362431,-0.171308559,1001,0
33066,-1.37,-9.78,-4.14,-0.19,0.01,0.05,10.70816978,0.196723156,0.815086336,0.055301799,1006,0
34067,-2.33,-10.25,-1.67,0.16,-0.06,0.21,10.64332185,0.270739727,-0.064847928,0.074016572,1001,0
35073,-2.4,-9.84,-3.59,-0.39,-0.59,-0.11,10.74586897,0.715751353,0.102547124,0.445011626,1006,0
36074,-1.77,-9.95,-3.45,0.35,0.59,-0.22,10.67885293,0.720416546,-0.067016039,0.004665193,1001,0
37080,-1.41,-11.06,-1.69,-0.46,-0.25,-0.37,11.27687013,0.641092817,0.598017198,-0.079323729,1006,0
38081,-1.17,-9.82,-3.46,0.12,0.63,-0.18,10.47725632,0.666108099,-0.799613813,0.025015282,1001,0
39087,-0.13,-9.42,-1.81,0.2,-0.52,-0.22,9.593195505,0.598999165,-0.884060815,-0.067108934,1006,0
40088,-1.4,-9.78,-4.31,-0.06,-0.22,0.01,10.77889141,0.228254244,1.185695904,-0.370744921,1001,0
41094,-1.04,-9.38,-1.8,-0.11,-0.27,0.2,9.607601157,0.353553391,-1.171290251,0.125299146,1006,0
42095,-1.54,-9.7,-3.98,-0.12,0.08,-0.01,10.5972638,0.144568323,0.98966264,-0.208985068,1001,0
43101,-0.77,-9.46,-1.61,0.17,0.35,0.12,9.62686865,0.407185461,-0.970395148,0.262617138,1006,0
44102,-1.65,-9.74,-3.96,-0.3,-0.34,0.03,10.64291783,0.454422711,1.016049183,0.047237249,1001,0
45108,-1.19,-9.84,-2.8,0.33,-0.3,0.11,10.29959708,0.459347363,-0.343320754,0.004924652,1006,0
46109,-1.35,-9.92,-1.96,-0.8,-0.02,0.09,10.20149499,0.805294977,-0.098102091,0.345947614,1001,0
47115,-2.41,-9.92,-2.43,0.29,-0.15,0.04,10.49377911,0.328937684,0.292284121,-0.476357293,1006,1
48116,-4.75,-7.75,-1.66,-0.27,0.11,0.51,9.240162336,0.587452126,-1.253616773,0.258514442,1001,1
49122,-9.82,0.93,-1.18,0.16,-0.26,-0.06,9.934268972,0.311126984,0.694106635,-0.276325142,1006,1
50123,-9.07,0.79,-0.75,-0.04,0.05,0.03,9.135179254,0.070710678,-0.799089718,-0.240416306,1001,1
59149,-8.72,1.11,0.37,-0.03,-0.4,0,8.798147532,0.401123422,-0.337031722,0.330412744,9026,0
60150,-8.09,-5.28,2.31,-0.61,0.22,-1.51,9.932904912,1.643350237,1.13475738,1.242226814,1001,0
62156,-2.49,-9.73,-3.33,0.35,1.03,-0.11,10.58120504,1.093389226,0.648300123,-0.54996101,2006,0
63162,-1.39,-9.78,-3.57,-0.02,-0.21,0.12,10.50358986,0.242693222,-0.077615173,-0.850696004,1006,0
64163,-1.08,-9.59,-1.53,0.23,-0.22,-0.02,9.771151416,0.318904374,-0.732438446,0.076211152,1001,0
65169,-2.56,-9.86,-4.15,-0.13,-0.27,-0.12,10.99980454,0.322800248,1.228653127,0.003895873,1006,0
