965,1.54,-9.73,-2.48, 0.29,0.58,0.16
1966,0.09,-9.81,-0.19, -0.34,0.02,0.20
2972,-0.05,-10.00,-1.12, -0.34,-0.30,0.10
3973,0.33,-10.22,-3.37, 0.41,-0.31,0.15
4979,0.42,-9.84,-2.53, -0.48,-0.43,0.13
5980,-0.27,-9.68,-1.14, 0.02,0.17,-0.22
6986,-0.14,-9.37,-2.40, -0.10,0.17,0.16
7987,1.90,-9.59,-0.81, -0.26,-0.14,-0.02
8993,1.49,-10.64,-1.45, 0.11,-0.53,0.26
9994,-0.13,-10.45,-3.61, -0.28,-1.08,0.05
11000,-0.26,-9.24,-0.59, -0.31,0.30,0.02
12001,1.55,-10.13,-2.79, 0.02,-0.61,0.25
13007,0.22,-9.22,-3.05, -0.11,-0.40,0.21
14008,1.47,-8.74,-0.08, -0.10,-0.54,0.24
15014,2.14,-10.02,-2.27, 0.22,-0.55,0.36
16015,0.07,-10.09,-3.41, -0.44,-0.25,-0.25
17021,0.84,-10.14,-0.74, -0.25,0.11,-0.15
18022,1.12,-10.25,-2.81, 0.21,-0.44,0.18
19028,1.98,-12.55,-1.05, -0.30,0.16,0.15
20029,-0.54,-8.96,-0.10, 0.30,-0.14,0.15
21035,-0.01,-10.11,-2.66, 0.18,-0.76,0.27
22036,-0.68,-10.55,-3.68, -0.54,-0.67,-0.01
23042,0.82,-9.84,-1.66, 0.04,-0.05,-0.50
24043,1.79,-10.03,-2.77, 0.14,-0.69,0.22
25049,1.16,-12.34,-0.49, -0.21,-0.15,-0.05
26050,-0.35,-9.05,-1.21, 0.38,-0.06,-0.10
27056,0.64,-10.11,-2.54, -0.02,-0.82,0.07
28057,-0.56,-9.45,-1.44, 0.21,-0.14,0.13
29063,0.72,-10.15,-3.12, -0.17,-0.36,0.09
30064,0.79,-9.46,-0.89, -0.24,0.45,-0.17
31070,1.19,-10.08,-2.59, 0.27,-0.68,0.23
32071,-0.89,-12.03,-3.65, -0.49,0.12,0.39
33077,-0.79,-9.70,-0.23, 0.31,-0.10,-0.29
34078,0.86,-10.13,-3.00, -0.15,-1.34,0.07
35084,0.21,-9.42,-0.14, -0.17,-0.24,-0.11
36085,-1.17,-8.09,-0.13, 0.32,0.01,-0.21
37091,-0.24,-10.67,-1.62, -0.00,-0.82,0.05
38092,0.17,-10.07,-3.00, 0.10,-0.41,0.24
39098,0.25,-9.76,-2.66, -0.08,-0.56,0.38
40099,-0.87,-9.84,-3.00, -0.39,-1.04,0.05
41105,-2.54,-6.46,0.42, 0.05,-0.87,0.10
42106,-1.46,-10.77,-1.15, -0.47,-0.46,-0.26
43112,-0.07,-8.02,-0.62, -0.12,0.22,0.25
44113,-1.29,-10.46,-1.82, 0.05,-0.42,0.07
45119,-1.81,-9.21,-1.94, -0.31,-0.74,0.27
46120,-2.27,-10.93,-0.83, -0.45,-0.35,0.26
47126,-2.01,-9.49,-1.11, -0.07,-0.36,0.12
48127,-1.51,-10.03,-1.93, 0.29,0.29,-0.05
49133,-2.00,-10.39,-3.56, -0.49,-0.09,0.11
50134,-1.75,-9.51,-0.20, -0.37,-0.19,-0.03
51140,-2.83,-9.97,-0.61, -0.08,-0.52,0.07
52141,-1.33,-10.08,-1.89, 0.24,-0.12,0.04
53147,-1.96,-7.49,-1.80, 0.03,0.17,-0.25
54148,-1.17,-9.37,-3.08, -0.33,0.15,-0.39
55154,-2.35,-10.40,-0.60, -0.47,0.57,-0.08
56155,-2.02,-8.15,-1.33, -0.17,0.85,-0.19
57161,-1.60,-9.60,-0.27, 0.04,0.80,-0.22
58162,-1.16,-9.97,-1.81, 0.29,0.43,-0.30
59168,-2.12,-9.56,-2.07, 0.36,0.24,0.27
60169,-3.21,-10.96,-3.48, -0.63,-0.20,0.08
61175,-2.51,-9.63,-0.30, -0.24,0.15,-0.09
62176,-0.92,-10.97,-1.22, 0.12,0.44,-0.28
63182,-2.10,-9.74,-2.47, 0.28,0.21,0.17
64183,-1.72,-8.56,-2.98, -0.46,-0.11,0.35
65189,-0.17,-10.25,-0.42, -0.45,-0.06,-0.34
66190,-2.52,-6.12,0.12, 0.34,0.78,-0.10
67196,-1.51,-8.63,-1.32, -0.30,-0.50,0.28
68197,-1.81,-9.35,-1.11, 0.15,0.73,-0.00
69203,-1.58,-10.39,-2.86, 0.20,-0.02,-0.26
70204,-2.73,-9.64,-3.07, 0.02,0.44,0.05
71210,-2.56,-9.90,-1.36, -0.25,-0.05,0.09
72211,-2.23,-9.43,-1.34, -0.00,0.07,0.01
87252,-2.37,-9.64,-1.92, 0.10,0.20,0.04
89258,-2.43,-9.62,-1.76, -0.11,-0.21,0.00
90259,-2.18,-9.58,-1.11, -0.04,-0.06,0.04
92265,-1.57,-9.70,-2.16, 0.10,0.18,0.11
93271,-1.56,-9.32,-0.36, -0.22,0.38,-0.14
94272,-2.48,-10.77,-2.85, 0.14,-0.33,-0.08
95278,-3.04,-9.85,-2.67, -0.33,-0.03,0.01
96279,-1.94,-8.48,-0.37, 0.19,0.72,0.02
97285,-2.87,-10.91,-2.57, 0.20,-0.04,-0.24
98286,-1.48,-9.28,-2.76, -0.31,-0.10,0.16
99292,-4.07,-9.11,-2.51, 0.14,0.52,-0.02
100293,-1.78,-8.80,-0.05, -0.12,0.55,0.15
101299,-1.37,-9.47,-0.73, 0.02,-0.81,-0.05
102300,-2.26,-9.57,0.58, -0.31,-1.03,-0.31
103306,0.19,-9.83,1.93, -0.15,0.30,-0.21
104307,0.17,-11.03,0.41, -0.19,0.31,0.21
105313,-1.06,-10.60,-0.57, 0.45,1.33,-0.61
106314,-1.03,-10.19,-2.54, -0.09,0.05,0.15
107320,1.53,-9.28,-0.10, -0.06,0.45,-0.37
108321,-0.96,-11.26,-1.13, 0.07,0.10,-0.14
109327,-0.73,-10.14,-1.87, 0.32,-0.16,0.11
110328,-1.52,-10.47,-4.29, -0.52,-0.51,0.04
111334,-1.93,-10.36,-4.19, -0.06,-0.39,0.21
112335,2.45,-11.31,-3.74, -0.05,0.10,-0.41
113341,4.43,-8.74,-4.29, 0.83,1.79,0.85
114342,4.55,-8.66,-1.14, -0.30,0.09,0.03
115348,4.02,-9.32,-3.64, 0.05,0.20,0.10
116349,3.00,-10.45,-4.59, -0.43,-0.05,-0.02
117355,2.81,-9.97,-1.83, -0.57,0.97,0.11
118356,2.99,-11.33,-3.89, 0.02,0.75,-0.23
119362,4.69,-9.13,-3.57, -0.07,-0.00,0.14
120363,2.90,-10.77,-5.11, -0.47,-0.05,0.27
121369,3.85,-8.88,-0.43, -0.40,0.49,0.28
122370,4.40,-11.67,-3.48, 0.13,0.06,-0.09
123376,3.83,-9.01,-3.24, -0.30,0.49,0.25
124377,4.69,-10.07,-1.13, -0.33,0.03,-0.13
125383,3.88,-8.20,-0.76, -0.04,0.56,-0.24
126384,3.53,-9.47,-3.39, 0.12,0.28,0.30
127390,2.72,-9.61,-3.61, -0.67,-0.16,0.27
128391,4.01,-9.28,-1.56, -0.42,0.53,0.22
129397,4.64,-8.93,-2.05, 0.11,-0.30,0.10
130398,3.29,-9.68,-3.67, -0.17,-0.47,0.14
131404,3.66,-8.89,-0.90, -0.26,0.07,-0.22
132405,2.20,-9.52,-3.69, 0.15,0.42,-0.05
133411,4.07,-9.21,-3.49, -0.17,-0.22,0.15
134412,4.23,-9.23,-1.53, -0.44,0.51,-0.35
135418,6.02,-9.98,-1.07, -0.10,0.45,-0.60
136419,2.53,-9.26,-3.63, 0.23,-0.59,0.22
137425,4.02,-8.85,-1.13, -0.38,0.72,-0.09
138426,2.73,-10.72,-3.86, -0.01,0.31,0.05
139432,4.41,-9.61,-3.39, -0.43,0.18,-0.11
140433,3.17,-9.58,-1.71, -0.45,0.52,-0.05
141439,1.60,-11.18,-2.97, 0.00,0.40,0.01
142440,3.94,-9.44,-3.00, -0.18,-0.16,0.20
143446,2.48,-8.18,-2.20, -0.26,-0.02,0.19
144447,2.52,-10.10,-1.81, -0.34,0.62,0.10
145453,3.22,-11.16,-1.59, 0.04,0.19,-0.35
146454,4.52,-9.34,0.64, 0.26,-0.06,-0.18
147460,6.13,-10.90,-0.32, -0.52,-0.35,-0.58
148461,2.83,-8.12,-4.06, 0.23,0.35,-0.23
149467,3.76,-9.57,-4.26, -0.07,0.55,0.25
