threshold,accuracy,precision,recall,f1
0.25000000000000006,0.8210838901262064,0.532319391634981,0.5426356589147286,0.5374280230326296
0.30000000000000004,0.8344469190794358,0.5888324873096447,0.4496124031007752,0.5098901098901099
0.20000000000000004,0.7661469933184856,0.4251968503937008,0.627906976744186,0.5070422535211268
0.3500000000000001,0.8396436525612472,0.647887323943662,0.35658914728682173,0.46
0.15000000000000002,0.6644394951744618,0.32616487455197135,0.7054263565891473,0.44607843137254904
0.1,0.5389755011135857,0.26700898587933247,0.8062015503875969,0.40115718418514945
0.40000000000000013,0.8337045285820341,0.6634615384615384,0.26744186046511625,0.3812154696132597
0.45000000000000007,0.838158871566444,0.7777777777777778,0.21705426356589147,0.3393939393939394
0.5000000000000001,0.8262806236080178,0.8529411764705882,0.1124031007751938,0.19863013698630136
0.5500000000000002,0.8181143281365999,0.8823529411764706,0.05813953488372093,0.10909090909090909
0.6000000000000002,0.8092056421677802,1.0,0.003875968992248062,0.007722007722007722
0.6500000000000001,0.8084632516703786,0.0,0.0,0.0
0.7000000000000002,0.8084632516703786,0.0,0.0,0.0
0.7500000000000002,0.8084632516703786,0.0,0.0,0.0
0.8000000000000002,0.8084632516703786,0.0,0.0,0.0
0.8500000000000002,0.8084632516703786,0.0,0.0,0.0
0.9000000000000002,0.8084632516703786,0.0,0.0,0.0
