threshold,accuracy,precision,recall,f1,n_windows,positive_rate,feature_set,base_feature_cols,window_size,min_positive_rows_in_window,model_name,model_params
0.20000000000000004,0.8246153846153846,0.40923076923076923,0.588495575221239,0.4827586206896552,1625,0.13907692307692307,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",5,3,RandomForest,"{""n_estimators"": 700, ""max_depth"": 12, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}"
0.30000000000000004,0.7164068299925761,0.42995169082125606,0.5493827160493827,0.4823848238482385,1347,0.24053452115812918,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",9,2,RandomForest,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}"
0.20000000000000004,0.8264615384615385,0.4119496855345912,0.5796460176991151,0.48161764705882354,1625,0.13907692307692307,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",5,3,RandomForest,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}"
0.15000000000000002,0.8153846153846154,0.39488636363636365,0.6150442477876106,0.4809688581314879,1625,0.13907692307692307,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",5,3,ExtraTrees,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}"
0.40000000000000013,0.77728285077951,0.547244094488189,0.42901234567901236,0.4809688581314879,1347,0.24053452115812918,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",9,2,ExtraTrees,"{""n_estimators"": 700, ""max_depth"": 12, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}"
0.25000000000000006,0.7650236326806212,0.44722222222222224,0.5193548387096775,0.48059701492537316,1481,0.20931802835921676,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",7,2,ExtraTrees,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}"
0.30000000000000004,0.7521944632005402,0.4278481012658228,0.5451612903225806,0.4794326241134752,1481,0.20931802835921676,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",7,2,ExtraTrees,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}"
0.40000000000000013,0.6829992576095026,0.4642857142857143,0.491183879093199,0.4773561811505508,1347,0.2947290274684484,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",9,1,ExtraTrees,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}"
0.30000000000000004,0.7677245104659014,0.4511494252873563,0.5064516129032258,0.47720364741641336,1481,0.20931802835921676,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",7,2,RandomForest,"{""n_estimators"": 700, ""max_depth"": 12, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}"
0.25000000000000006,0.682256867112101,0.39473684210526316,0.6018518518518519,0.4767726161369193,1347,0.24053452115812918,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",9,2,RandomForest,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}"
